date,avg_price
2019-1-1,106.97526541676079
2019-2-1,107.02789699570816
2019-3-1,107.51863564490625
2019-4-1,107.21899706347413
2019-5-1,107.11328213236955
2019-6-1,106.85227016037949
2019-7-1,106.88547549130337
2019-8-1,106.86288683081094
2019-9-1,109.12977185452903
2019-10-1,109.96792410210074
2019-11-1,109.05398689857691
2019-12-1,109.2510729613734
2020-1-1,109.92048791506663
2020-2-1,110.74757171899707
2020-3-1,111.11011971990061
2020-4-1,111.20973571267224
2020-5-1,111.20487915066637
2020-6-1,111.22712898125141
2020-7-1,110.20376665913712
2020-8-1,109.18040433702282
2020-9-1,111.69196408402982
2020-10-1,110.50783600632482
